garment,action,simulator,mode,n_samples,cd_l1_s2r,cd_l2_s2r,cd_l1_r2s,hd_s2r,hd_r2s,sim_stab,z_err
green_tshirt,fling,mujoco_style3d,fixed_point,3,0.0546,0.0445,0.0419,0.1644,0.1197,0.0208,0.0166
green_tshirt,fling,pybullet,fixed_point,3,0.0675,0.055,0.0532,0.2113,0.1522,0.021,0.0187
green_tshirt,fold,isaacsim,fixed_point,3,0.037,0.0292,0.0314,0.1275,0.0966,0.0205,0.0262
green_tshirt,fold,mujoco_style3d,fixed_point,3,0.0209,0.0157,0.0132,0.098,0.0512,0.0204,0.0101
green_tshirt,fold,pybullet,fixed_point,3,0.0309,0.0241,0.0227,0.1217,0.0778,0.0207,0.0125
green_tshirt,grasp,isaacsim,fixed_point,3,0.0426,0.0337,0.0341,0.1489,0.1058,0.021,0.017
green_tshirt,grasp,mujoco_style3d,fixed_point,3,0.0349,0.0275,0.0226,0.142,0.0798,0.0209,0.0167
green_tshirt,grasp,pybullet,fixed_point,3,0.0476,0.0386,0.0348,0.1676,0.1109,0.021,0.0154
grey_pleat_skirt,fling,isaacsim,fixed_point,3,0.0613,0.0487,0.0388,0.1511,0.1089,0.0107,0.0285
grey_pleat_skirt,fling,mujoco_style3d,fixed_point,3,0.0572,0.046,0.0326,0.1446,0.0736,0.0104,0.0172
grey_pleat_skirt,fling,pybullet,fixed_point,3,0.0654,0.0514,0.054,0.1473,0.1236,0.0103,0.0577
grey_pleat_skirt,fold,isaacsim,fixed_point,3,0.025,0.0189,0.0255,0.0856,0.1199,0.0099,0.0169
grey_pleat_skirt,fold,mujoco_style3d,fixed_point,3,0.0171,0.0125,0.0126,0.0582,0.0857,0.0096,0.0067
grey_pleat_skirt,fold,pybullet,fixed_point,3,0.021,0.0157,0.0256,0.0737,0.1383,0.01,0.01
grey_pleat_skirt,grasp,isaacsim,fixed_point,3,0.0237,0.0183,0.0201,0.0788,0.0908,0.01,0.0218
grey_pleat_skirt,grasp,mujoco_style3d,fixed_point,3,0.0287,0.0223,0.0159,0.0991,0.0707,0.01,0.0104
grey_pleat_skirt,grasp,pybullet,fixed_point,3,0.03,0.0229,0.0241,0.0892,0.0878,0.0099,0.0184
white_cakeskirt,fling,isaacsim,fixed_point,3,0.1021,0.0821,0.0598,0.2319,0.1872,0.0184,0.1421
white_cakeskirt,fling,mujoco_style3d,fixed_point,3,0.0579,0.0453,0.0406,0.1744,0.1725,0.0178,0.1213
white_cakeskirt,fling,pybullet,fixed_point,3,0.0852,0.0678,0.0588,0.2056,0.1767,0.018,0.1443
white_cakeskirt,fold,isaacsim,fixed_point,3,0.0519,0.0415,0.0308,0.1642,0.1082,0.018,0.0091
white_cakeskirt,fold,mujoco_style3d,fixed_point,3,0.0304,0.023,0.0179,0.1327,0.0962,0.0176,0.014
white_cakeskirt,fold,pybullet,fixed_point,3,0.041,0.0331,0.0266,0.1497,0.1082,0.0179,0.0148
white_cakeskirt,grasp,isaacsim,fixed_point,3,0.0822,0.0658,0.0517,0.2036,0.1719,0.0181,0.0532
white_cakeskirt,grasp,mujoco_style3d,fixed_point,3,0.0439,0.0338,0.0269,0.1485,0.1222,0.0178,0.0548
white_cakeskirt,grasp,pybullet,fixed_point,3,0.0778,0.0618,0.0487,0.212,0.1573,0.0159,0.0803
white_shirt,fling,isaacsim,fixed_point,3,0.0778,0.0626,0.06,0.2255,0.2058,0.0152,0.0064
white_shirt,fling,mujoco_style3d,fixed_point,3,0.0564,0.0445,0.0422,0.1912,0.1547,0.0151,0.014
white_shirt,fling,pybullet,fixed_point,3,0.0697,0.0559,0.0518,0.2104,0.177,0.0152,0.0197
white_shirt,fold,isaacsim,fixed_point,3,0.0547,0.0424,0.0308,0.1895,0.1171,0.0154,0.0349
white_shirt,fold,mujoco_style3d,fixed_point,3,0.0428,0.0322,0.0243,0.1775,0.0982,0.0152,0.014
white_shirt,fold,pybullet,fixed_point,3,0.0443,0.0341,0.028,0.1746,0.1252,0.0153,0.0127
white_shirt,grasp,isaacsim,fixed_point,3,0.0477,0.0366,0.0312,0.1692,0.1123,0.0157,0.0331
white_shirt,grasp,mujoco_style3d,fixed_point,3,0.0471,0.0363,0.028,0.1757,0.1106,0.0156,0.0182
white_shirt,grasp,pybullet,fixed_point,3,0.0524,0.0408,0.0347,0.1734,0.1394,0.0155,0.0134
beige_hoodie,fold,isaacsim,robot,3,0.0875,0.0707,0.0451,0.2933,0.1804,0.0175,0.0181
beige_hoodie,fold,mujoco_style3d,robot,3,0.0469,0.0359,0.0312,0.1998,0.1642,0.0167,0.0064
beige_hoodie,fold,pybullet,robot,3,0.0858,0.0706,0.0489,0.2857,0.1865,0.0111,0.0262
beige_hoodie,grasp,isaacsim,robot,3,0.2868,0.2089,0.2313,0.4748,0.4098,0.0173,0.2115
beige_hoodie,grasp,mujoco_style3d,robot,3,0.0502,0.0384,0.0537,0.2032,0.1789,0.0166,0.0348
beige_hoodie,grasp,pybullet,robot,3,0.2941,0.2128,0.2422,0.4789,0.4409,0.0111,0.2221
blue_dress,fold,isaacsim,robot,3,0.0489,0.0392,0.0395,0.1548,0.153,0.0176,0.0177
blue_dress,fold,mujoco_style3d,robot,3,0.0235,0.0177,0.0199,0.0955,0.0901,0.0174,0.0133
blue_dress,fold,pybullet,robot,3,0.0646,0.0533,0.0575,0.2145,0.2367,0.0121,0.0464
blue_dress,grasp,isaacsim,robot,3,0.1613,0.1391,0.1287,0.3258,0.2917,0.0178,0.1279
blue_dress,grasp,mujoco_style3d,robot,3,0.0312,0.0244,0.0299,0.1108,0.1413,0.0176,0.0191
blue_dress,grasp,pybullet,robot,3,0.1705,0.1461,0.1646,0.3609,0.3912,0.0121,0.1561
brown_coat,fold,isaacsim,robot,3,0.0786,0.062,0.0607,0.2347,0.2167,0.0157,0.0479
brown_coat,fold,mujoco_style3d,robot,3,0.0387,0.029,0.022,0.1563,0.0871,0.0153,0.0378
brown_coat,fold,pybullet,robot,3,0.086,0.0674,0.0698,0.2576,0.2629,0.0101,0.0608
brown_coat,grasp,isaacsim,robot,3,0.1141,0.0907,0.1018,0.3477,0.2714,0.0157,0.1133
brown_coat,grasp,mujoco_style3d,robot,3,0.065,0.0486,0.0268,0.205,0.0883,0.0156,0.0581
brown_coat,grasp,pybullet,robot,3,0.1482,0.1181,0.1551,0.4149,0.4125,0.0101,0.1485
green_tshirt,fold,isaacsim,robot,3,0.0527,0.0414,0.0527,0.1549,0.1685,0.0203,0.0292
green_tshirt,fold,mujoco_style3d,robot,3,0.0212,0.0159,0.0113,0.0959,0.0528,0.0201,0.0129
green_tshirt,fold,pybullet,robot,3,0.0637,0.0502,0.046,0.1958,0.1824,0.015,0.0376
green_tshirt,grasp,isaacsim,robot,3,0.0806,0.0621,0.0732,0.2111,0.1926,0.0205,0.0535
green_tshirt,grasp,mujoco_style3d,robot,3,0.0341,0.0271,0.0234,0.1399,0.096,0.0205,0.0171
green_tshirt,grasp,pybullet,robot,3,0.2275,0.1638,0.239,0.4021,0.436,0.015,0.2331
grey_pleat_skirt,fold,isaacsim,robot,3,0.0365,0.0275,0.0265,0.1198,0.1275,0.0101,0.0161
grey_pleat_skirt,fold,mujoco_style3d,robot,3,0.0205,0.0153,0.0113,0.0747,0.0673,0.0099,0.0127
grey_pleat_skirt,fold,pybullet,robot,3,0.0318,0.0236,0.0386,0.1104,0.1602,0.0073,0.0251
grey_pleat_skirt,grasp,isaacsim,robot,3,0.0873,0.0646,0.0997,0.1496,0.1979,0.0101,0.108
grey_pleat_skirt,grasp,mujoco_style3d,robot,3,0.0406,0.031,0.0345,0.1379,0.107,0.0103,0.0373
grey_pleat_skirt,grasp,pybullet,robot,3,0.1049,0.0784,0.1449,0.1625,0.2854,0.0073,0.139
white_cakeskirt,fold,isaacsim,robot,3,0.0553,0.0432,0.0344,0.1848,0.1842,0.018,0.0176
white_cakeskirt,fold,mujoco_style3d,robot,3,0.0284,0.0213,0.0168,0.1135,0.0891,0.0176,0.0082
white_cakeskirt,fold,pybullet,robot,3,0.0639,0.0511,0.0538,0.2534,0.2408,0.0115,0.0506
white_cakeskirt,grasp,isaacsim,robot,3,0.2186,0.1861,0.1486,0.3959,0.327,0.0179,0.1683
white_cakeskirt,grasp,mujoco_style3d,robot,3,0.0428,0.0329,0.0342,0.1487,0.1472,0.0157,0.0466
white_cakeskirt,grasp,pybullet,robot,3,0.2452,0.2109,0.2223,0.4663,0.4882,0.0115,0.2129
white_shirt,fold,isaacsim,robot,2,0.0773,0.0586,0.0386,0.2377,0.1619,0.0154,0.028
white_shirt,fold,mujoco_style3d,robot,3,0.0425,0.0316,0.0247,0.1726,0.1062,0.015,0.0218
white_shirt,fold,pybullet,robot,3,0.1125,0.0873,0.0799,0.2833,0.2708,0.0107,0.073
white_shirt,grasp,isaacsim,robot,3,0.1452,0.1111,0.1525,0.3477,0.3646,0.0156,0.1613
white_shirt,grasp,mujoco_style3d,robot,3,0.0577,0.0434,0.0844,0.1763,0.2757,0.0148,0.0214
white_shirt,grasp,pybullet,robot,3,0.2046,0.1524,0.2276,0.4118,0.4761,0.0107,0.223
